0,300.0,12,90,saphesia
10,290.2,15,90,saphesia
20,280.6111111111111,17,90,saphesia
30,271.8222222222222,17,90,saphesia
40,263.6777777777778,15,90,saphesia
50,257.3222222222222,11,90,saphesia
60,249.22222222222223,12,90,saphesia
70,240.61111111111111,13,90,saphesia
80,233.4111111111111,12,90,saphesia
90,227.4,10,90,saphesia
100,220.63333333333333,9,90,saphesia
110,210.75555555555556,12,90,saphesia
120,201.8111111111111,14,90,saphesia
130,193.25555555555556,16,90,saphesia
140,183.85555555555555,18,90,saphesia
150,173.88888888888889,22,90,saphesia
160,166.25555555555556,23,90,saphesia
170,160.11111111111111,24,90,saphesia
180,150.76666666666668,27,90,saphesia
190,149.57777777777778,25,90,saphesia
200,141.95555555555555,27,90,saphesia
210,135.65555555555557,27,90,saphesia
220,130.67777777777778,27,90,saphesia
230,123.95555555555555,27,90,saphesia
240,115.22222222222223,29,90,saphesia
250,108.34444444444445,30,90,saphesia
260,99.12222222222222,32,90,saphesia
270,91.73333333333333,35,90,saphesia
280,83.03333333333333,36,90,saphesia
290,78.08888888888889,36,90,saphesia
300,70.9,38,90,saphesia
310,64.93333333333334,39,75,saphesia
320,61.74444444444445,39,74,saphesia
330,57.111111111111114,41,71,saphesia
340,51.13333333333333,42,69,saphesia
350,47.266666666666666,44,41,saphesia
360,45.75555555555555,46,37,saphesia
370,44.022222222222226,48,36,saphesia
380,41.62222222222222,48,33,saphesia
390,39.044444444444444,50,31,saphesia
400,37.166666666666664,50,29,saphesia
410,36.86666666666667,51,27,saphesia
420,40.03333333333333,49,27,saphesia
430,37.67777777777778,51,26,saphesia
440,35.41111111111111,53,26,saphesia
450,35.91111111111111,54,25,saphesia
460,34.833333333333336,54,25,saphesia
470,33.644444444444446,54,25,saphesia
480,36.24444444444445,54,25,saphesia
490,37.044444444444444,55,25,saphesia
500,35.81111111111111,56,24,saphesia
510,35.25555555555555,57,21,saphesia
520,35.522222222222226,55,21,saphesia
530,33.58888888888889,57,21,saphesia
540,32.74444444444445,58,21,saphesia
550,33.71111111111111,58,19,saphesia
560,35.577777777777776,57,18,saphesia
570,37.75555555555555,57,18,saphesia
580,36.41111111111111,59,18,saphesia
590,39.82222222222222,56,18,saphesia
600,38.644444444444446,58,18,saphesia
610,37.3,59,17,saphesia
620,38.266666666666666,60,17,saphesia
630,38.48888888888889,58,17,saphesia
640,37.06666666666667,60,17,saphesia
650,39.355555555555554,59,17,saphesia
660,41.81111111111111,60,17,saphesia
670,41.93333333333333,59,16,saphesia
680,41.25555555555555,59,16,saphesia
690,41.1,60,16,saphesia
700,40.733333333333334,60,16,saphesia
710,39.13333333333333,63,15,saphesia
720,40.58888888888889,62,15,saphesia
730,39.5,64,15,saphesia
740,41.611111111111114,61,15,saphesia
750,40.86666666666667,63,15,saphesia
760,42.17777777777778,62,15,saphesia
770,41.1,64,15,saphesia
780,40.522222222222226,66,15,saphesia
790,39.78888888888889,68,15,saphesia
800,42.477777777777774,63,15,saphesia
810,42.544444444444444,64,15,saphesia
820,42.36666666666667,64,15,saphesia
830,41.611111111111114,65,15,saphesia
840,40.9,67,15,saphesia
850,40.422222222222224,68,15,saphesia
860,40.355555555555554,69,15,saphesia
870,40.37777777777778,70,15,saphesia
880,39.27777777777778,72,15,saphesia
890,39.77777777777778,72,15,saphesia
900,39.27777777777778,75,15,saphesia
910,38.62222222222222,76,15,saphesia
920,39.21111111111111,76,15,saphesia
930,42.01111111111111,75,15,saphesia
940,40.94444444444444,77,15,saphesia
950,41.43333333333333,78,15,saphesia
960,41.21111111111111,79,15,saphesia
970,42.577777777777776,77,15,saphesia
980,41.166666666666664,79,15,saphesia
990,40.86666666666667,80,15,saphesia
1000,41.022222222222226,81,15,saphesia
0,300.0,12,90,cooperative
10,290.53333333333336,14,90,cooperative
20,281.02222222222224,16,90,cooperative
30,272.3333333333333,16,90,cooperative
40,264.0888888888889,15,90,cooperative
50,256.97777777777776,12,90,cooperative
60,248.37777777777777,13,90,cooperative
70,241.48888888888888,11,90,cooperative
80,234.73333333333332,9,90,cooperative
90,225.82222222222222,11,90,cooperative
100,217.0222222222222,13,90,cooperative
110,208.04444444444445,14,90,cooperative
120,199.05555555555554,16,90,cooperative
130,191.53333333333333,16,90,cooperative
140,182.66666666666666,17,90,cooperative
150,172.86666666666667,21,90,cooperative
160,166.55555555555554,19,90,cooperative
170,159.07777777777778,20,90,cooperative
180,149.25555555555556,24,90,cooperative
190,139.51111111111112,27,90,cooperative
200,134.3,27,90,cooperative
210,125.38888888888889,29,90,cooperative
220,124.56666666666666,28,90,cooperative
230,114.87777777777778,31,90,cooperative
240,106.4888888888889,32,90,cooperative
250,101.28888888888889,33,90,cooperative
260,94.6,33,90,cooperative
270,84.77777777777777,37,90,cooperative
280,80.76666666666667,35,90,cooperative
290,80.78888888888889,32,90,cooperative
300,78.23333333333333,32,90,cooperative
310,71.97777777777777,33,80,cooperative
320,63.611111111111114,36,77,cooperative
330,60.78888888888889,36,75,cooperative
340,52.94444444444444,39,72,cooperative
350,51.144444444444446,38,46,cooperative
360,48.67777777777778,40,43,cooperative
370,44.955555555555556,42,40,cooperative
380,43.6,43,39,cooperative
390,42.18888888888889,46,32,cooperative
400,41.833333333333336,45,31,cooperative
410,43.233333333333334,45,31,cooperative
420,43.17777777777778,46,31,cooperative
430,43.63333333333333,46,30,cooperative
440,48.21111111111111,44,30,cooperative
450,46.34444444444444,46,30,cooperative
460,44.46666666666667,47,30,cooperative
470,42.955555555555556,47,30,cooperative
480,41.144444444444446,50,30,cooperative
